entry_date,exit_date,direction,holding_days,trade_return,signal_date,signal_value,signal_confidence,signal_direction,corr_col_used,corr_value_used,correlation_regime,flipped,signal_quality,actual_beat_consensus,actual_surprise,actual_surprise_direction,prediction_error,signal_correct,trade_direction_correct,flip_helped,outcome,benchmark_return,alpha_contribution,entry_type
2023-03-13,2023-03-15,1.0,2,-0.010220765000784948,2023-01-24,1.8096193964844112,0.0,1,leading,,unknown,false,low,true,0.16301859799713878,1,,true,false,,direction_wrong_loss,0.0,-0.010220765000784948,correlation_aware
2023-03-16,2023-04-05,1.0,14,-0.03345075735282954,2023-01-24,1.8096193964844112,0.0,1,leading,,unknown,false,low,true,0.16301859799713878,1,,true,false,,direction_wrong_loss,0.0,-0.03345075735282954,correlation_aware
2023-04-06,2023-04-27,1.0,14,0.07563148287185673,2023-01-24,1.8096193964844112,0.0,1,leading,,unknown,false,low,true,0.16301859799713878,1,,true,true,,direction_right_profit,0.0,0.07563148287185673,correlation_aware
2023-06-09,2023-07-06,1.0,17,0.06494854182163734,2023-04-25,1.0644870831979846e-14,0.0,1,leading,,unknown,false,low,true,0.12377984084880636,1,,true,true,,direction_right_profit,0.0,0.06494854182163734,correlation_aware
2023-07-07,2023-07-25,1.0,12,0.04859655002196428,2023-04-25,1.0644870831979846e-14,0.0,1,leading,,unknown,false,low,true,0.12377984084880636,1,,true,true,,direction_right_profit,0.0,0.04859655002196428,correlation_aware
2023-07-26,2023-08-29,1.0,24,-0.017565077909256432,2023-04-25,1.0644870831979846e-14,0.0,1,leading,,unknown,false,low,true,0.12377984084880636,1,,true,false,,direction_wrong_loss,0.0,-0.017565077909256432,correlation_aware
2023-09-12,2023-10-13,-1.0,23,0.01701477214508751,2023-07-25,-8.722064388586573e-15,0.0,-1,leading,,unknown,false,low,true,0.11711949685534591,1,0.11711949685534624,false,true,,direction_right_profit,0.0,0.01701477214508751,correlation_aware
2023-10-16,2023-10-25,-1.0,7,0.006581053097516443,2023-07-25,-8.722064388586573e-15,0.0,-1,leading,,unknown,false,low,true,0.11711949685534591,1,0.11711949685534624,false,true,,direction_right_profit,0.0,0.006581053097516443,correlation_aware
2023-10-26,2023-11-02,-1.0,5,-0.005720414550156594,2023-07-25,-8.722064388586573e-15,0.0,-1,leading,,unknown,false,low,true,0.11711949685534591,1,0.11711949685534624,false,false,,direction_wrong_loss,0.0,-0.005720414550156594,correlation_aware
2023-12-07,2024-01-04,1.0,18,0.01490332668798966,2023-10-24,3.297543282603658e-11,0.0,1,leading,0.9999999999999999,strong_positive,false,medium,true,0.08977443609022556,1,0.0897744360886982,true,true,,direction_right_profit,0.0,0.01490332668798966,correlation_aware
2024-01-05,2024-03-18,1.0,49,0.28912992590207587,2023-10-24,3.297543282603658e-11,0.0,1,leading,0.9999999999999999,strong_positive,false,medium,true,0.08977443609022556,1,0.0897744360886982,true,true,,direction_right_profit,0.0,0.28912992590207587,correlation_aware
2024-03-18,2024-04-03,-1.0,11,-0.0006646370238734267,2024-01-23,-2.3933707777051193e-12,0.0,-1,leading,0.9311702222434184,strong_positive,false,medium,true,0.10690243902439024,1,0.10690243902446006,false,false,,direction_wrong_loss,0.0,-0.0006646370238734267,correlation_aware
